PRODUCTNO,MD$STATUS,VERSION,MD$DESC,MD$USER,MD$CDATE,MD$MDATE,APP_DATE
V501321,RLS,0,과속조절기 Cover 법규 요구사항 만족을 위한 신규 개발,2030985,20231205144323,20231205144323,20231207112519
V501364,WIP,wip,카도어 잠금장치 신규 개발(시설투자비),2037564,20260513105031,20260513105031,20251112130326
V501405,RLS,2,N:EX Global_V5 시설투자비,2024829,20250422104102,20250422104102,20250422114139
V501424,RLS,2,H-DOOR 450J 테스트,2016257,20240131155335,20240131155335,20240205163200
V501500,CRT,wip,전자식 SAFETY 안전 제어기 선행연구(시설투자비),2031035,20240319100101,20240319100101,
V501524,CRT,wip,Smart COP B’d 개발 (시설투자비),2026023,20240328101430,20240328101430,
V501641,CRT,wip,N:EX2 디자인 개발(시설투자비),2026180,20240705134017,20240705134017,
V501682,RLS,0,글로벌 소싱 전장품 개발(공기구비품-비품),2033283,20250107140941,20250107140941,20250110172424
V501684,RLS,0,스마트 전장품 개발 (시설투자비),2035197,20250819092826,20250819092826,20250819165719
V501685,RLS,5,미국 NAEC 2024 컨벤션 전시품 제작,2035219,20241224150511,20241224150511,20241224151542
V501720,RLS,0,H-Door SUS 用 TOX JIG 구매,2026023,20241002140819,20241002141615,20241002144009
V501741,RLS,0,"신규 사각 버튼(C1,C2) 개발",2025205,20240821151014,20240821151014,20240821151601
V501761,RLS,0,방진고무 신규 금형 청구 건,2033224,20241008104510,20241008104510,20241008105326
V501840,RLS,0,엔코더 부착 가능형 DG240 Governor 개발 (시설투자),2030985,20260306091420,20260306091420,20260307124648
V501942,RLS,0,루젠글로벌 JQPR STOCK ,2021064,20250114152844,20250114152844,20250114173316
V501997,RLS,0,일반 건축용 모듈러 시스템 E/L 개발 (금형비),2018594,20260127185215,20260127185215,20260127185613
V502008,RLS,0,방진고무 최적화 선행개발 (공기구비품-공구),2033542,20251016102642,20251016102642,20251021161425
V502045,RLS,0,W-BT TRACK JIG,2036347,20250415144157,20250415145317,20250808103835
V502063,RLS,6,신규 클러치 적용 중저속 도어장치 개발(시설투자비),2037564,20260907094346,20260907094346,20260907105702
V502069,RLS,0,현대건설 디에이치 표준디자인 개발(공기구비품),2028336,20250530093713,20250530093713,20250530165442
V502103,RLS,0,북미용 인터페이스 개발(시설투자),2032082,20250425102056,20250425102056,20260821094330
V502108,RLS,0,글로벌소싱 전장품 Phase 2 개발 (시설투자비),2035197,20260324141515,20260324141515,20260324151741
V502145,RLS,2,북미 수출형 MR 및 MRL 시스템 경쟁력 강화_시설투자,2024829,20260417172807,20260417172807,20260417173912
V502148,WIP,wip,동기기 적용 고속 도어장치 개발 (시설투자),2037564,20260615173505,20260615173505,20260310092341
V502149,RLS,2,해외 MOD용 200V 제어반 개발(시설비),2033224,20260528085025,20260528085025,20260528104644
V502163,RLS,0,MOD향 인테리어 개발 건,2030713,20251030101408,20251030102723,20251111123332
V502165,RLS,0,모션콜2 개발 건(시설투자),2028336,20250925162938,20250925162938,20250925214011
V502182,RLS,0,GTLX2-R 신규 제어반 개발(시설투자비),2036282,20251229134210,20251229134210,20251229160717
V502243,RLS,0,TM 모델 GN60 메인시브 노후 목금형 재생산 (시설투자),2030713,20251016132040,20251016132040,20251016170436
V502250,RLS,0,적외선 온도 측정 시스템 구축(시설투자비),2034352,20251125095452,20251125095452,20251126150740
V502263,CRT,wip,신규 승강장문 조립체 개발 (시설투자비),2032961,20260113090338,20260113090338,
V502268,RLS,0,항온항습 챔버 장비 구축(시설투자비),2034352,20260129110754,20260129110754,20260130131512
V502269,RLS,0,TM(GN17) 기종 보수용 목금형 재구매,2030713,20260130091210,20260130091210,20260130092551
V502280,CRT,wip,WBVF제어반 단종을 위한 GT제어반 확대 적용 프로젝트,2028506,20251205155349,20251205155349,
V502281,RLS,3,스마트 시뮬레이션 장비 제작 건(공기구비품-비품),2034182,20260211105942,20260211105942,20260211111241
V502286,CRT,wip,미래인재아카데미 직무교육 실습 장비 구매 건,2028336,20260224163731,20260224163744,
V502363,RLS,0,차세대 루젠 디자인 의장 개발 프로젝트(글로벌스텐다드),2032198,20260708101602,20260708101602,20260710112552
V502364,RLS,0,차세대 루젠 디자인 의장 개발 프로젝트,2032198,20260320103646,20260320103646,20260323112702
V502365,CRT,wip,(선행)DUAL 시스템 개발(t시설투자),2023768,20260429151911,20260429151911,
V502377,CRT,wip,ELD 배터리 수명 향상 및 모니터링 시스템 개발(시설투자),2023768,20260429120141,20260429120141,
V502383,RLS,0,차세대 luxen 빌트인 에어 케어 시스템(통합과제)/시설투자,2019027,20260316090307,20260316090307,20260518135352
V502402,CRT,wip,북미향 EL 시스템 확장 개발(시설투자),2028336,20260401170537,20260401170537,
V502403,RLS,1,타사 MOR RM시장 대응 제품 개발(시설투자비),2032147,20260909133324,20260909133324,20260909133933
V502448,WIP,wip,카상부 콘센트방수보호 박스 금형수정 개발,2020203,20260804142747,20260804142747,20260724141318
V502467,RLS,0,장애자 OPB BOX 금형 개발,2020203,20260723105748,20260723110018,20260724141259
V502468,CRT,wip,대용량 화물용 제어반 개발(시설투자),2033828,20260804090849,20260804091123,
V502484,RLS,1,D6 SWAGED ROPE SHACKLE 금형 개발,2033984,20260907193826,20260907193826,20260908101324
V800005,WIP,wip,"급진적 원가 절감 TDR3 (설계개선 TDR-설계담당) – 재료비, 경비",2024462,20220927110812,20220927110812,
V800362,RLS,0,2020년 Product Design Line-up,2027178,20221129151954,20221129151954,
V800363,RLS,2,스마트 군관리 3.0 재료비,2025205,20230518155405,20230518155405,
V800375,RLS,8,GY35 BRAKE 단종에 따른 대체품 변경 적용 ,2033542,20230227141543,20230227141543,
V800410,CRT,wip,버튼 디자인 목업 제작의 건 (샘플 재료비),2006235,20240423151520,20240423153807,
V800418,RLS,11,"컨베이버 롤러 방식(카트식) 재료비, 경비",2026350,20230209142316,20230209142636,
V800420,RLS,2,"OnlineFDC(고장탐색, 분석, 진단) 기능 개발",2029910,20221115124925,20221115150417,
V800487,RLS,4,DSS 입력장치 고도화 개발 재료비,2031159,20231004172238,20231004172238,
V800501,RLS,118,STO향 Low End 시스템 개발 예산투자 품의 건,2024829,20250218090347,20250218090347,20250218093346
V800503,RLS,18,Clean Tech 솔루션(로비층 음성인식장치) 개발 예산투자 품의 건,2031477,20231026090715,20231026090715,20231026092748
V800540,RLS,19,타사 제품 전용 MOD Kit 개발,2033283,20240102153150,20240102153343,20240102162855
V800600,CRT,wip,안면 인식 기반 E-Call 상품화 개발,2026023,20230321152805,20230321152805,
V800602,RLS,16,북미 수출용 제어반 인증,2034948,20241219084413,20241219084413,20241220141453
V800606,CRT,wip,충주타워 EL 설치(설치 예비비),2028379,20221220110328,20221220110328,
V800607,RLS,19,북미 수출용 시스템 지진지역 대응 개발 과제,2033542,20240617133348,20240617133348,20240618111116
V800608,RLS,38,"세대 내 소음 저감을 위한 승강로 방진구조 개발(재료비,경비)",2033542,20251209172150,20251209172150,20251210101734
V800620,RLS,49,중소제조업체 판매용 제어반 개발,2035219,20250418091553,20250418091553,20250418110523
V800621,RLS,0,비상통화장치 관련 지원과제 2건 개발,2029910,20221025164729,20221121110133,
V800623,RLS,20,"급진적 원가 절감 TDR(설계개선 TDR-설계담당)-재료비,경비",2034182,20231117121331,20231117121331,20231117130400
V800624,RLS,55,"#1호기 (21인승, 240mpm) 비상용 (셔틀용) 재료비/경비",2024446,20250513114300,20250513115203,20250513192212
V800625,RLS,85,"#3호기 (18인승, 420mpm) 전망용 EL 재료비/경비",2027950,20250806164223,20250806164223,20250806180831
V800626,WIP,wip,"#4호기 (21인승, 600mpm) 더블데크 EL 재료비/경비",2032198,20251105165503,20251105165615,20251030000000
V800627,RLS,134,"#5호기 (21인승, 1260mpm) 초고속 EL 재료비/경비",2037564,20251128151741,20251128151741,20251128154546
V800628,RLS,58,"#6호기 (38인승, 150mpm) 피난용 (인화물용) 재료비/경비",2032198,20250609145506,20250609145506,20250609150111
V800629,RLS,13,스마트타워 구축 재료비/경비,2037564,20260622141159,20260622141159,20260622142214
V800630,RLS,3,대형 터치형 행선층 입력장치 개발 재료비,2025205,20240628155621,20240628155621,20240701122647
V800640,RLS,41,"MOB 타입 리모델링 대응 시스템 개발(재료비,경비)",2034956,20260508162317,20260508162317,20260508164502
V800661,RLS,30,DV를 통한 설계품질확보(재료비),2032767,20250901160705,20250901160705,20250901161208
V800680,RLS,70,3-Level 인버터 양산화 개발(재료비/경비),2034034,20240730104933,20240730104933,20240730143548
V800681,RLS,125,"N:EX 150mpm-1600kg 개발_재료비,경비",2035219,20240715152024,20240715152024,20240715180535
V800700,RLS,18,"7500kg급 용량 초고속 (360mpm) Safety Device 개발(재료비, 경비)",2034026,20240624091741,20240624091741,20240627102731
V800701,RLS,2,프로그램 관리 및 통합툴 개발 품의(MIRI TOOL),2029910,20230816093427,20230816093650,
V800720,RLS,3,"롤러 컨베이어 카트턴 내장타입(카트식) 연구개발비(재료비,경비)",2028239,20231226134109,20231226134205,20231226171440
V800721,RLS,83,북미용 엘리베이터 시스템 개발(재료비/경비),2032198,20250902081409,20250902081409,20250904083216
V800740,RLS,0,"STO Car Frame 단순화(Platform 경량화) 재료비, 경비",2021307,20230426094859,20230426094859,20231027115033
V800741,RLS,3,N:EX 브레이크 국산화 개발 예산투자 품의 건,2034034,20241112142600,20241112142600,20241112144701
V800761,RLS,5,중국산 전기강판 및 신규 Magnet업체 개발,2033224,20250616131159,20250616131159,20250616155957
V800781,RLS,5,"충주 쇼룸 하자 보수 및 추가공사 건(재료비,경비)",2035294,20231117112049,20231117112049,20231117150314
V800782,RLS,15,23년 서비스본부 요청과제 개발,2034352,20240906091053,20240906091053,20240911102726
V800802,RLS,7,중국법인 전장품 샘플,2033232,20231226131523,20231226131726,20231226162747
V800803,RLS,0,"PIT E-STOP & LAMP 스위치 BOX 개발(재료비,경비)",2026023,20230821091836,20230821092548,
V800804,RLS,1,"GAP LIGHTING SILL 개발(재료비,경비)",2006235,20240529125637,20240529125637,20240529190716
V800805,WIP,wip,"고속/초고속 시스템 최적화 개발의 건_재료비, 경비",2035162,20250218171737,20250218171831,20250214000000
V800820,WIP,wip,인터널오더(연구개발등) 표준 프로젝트,2036347,20241016153532,20241016153532,20240807095254
V800840,RLS,81,(추가예산)중국법인 제품 국내 시장 도입(LUXEN GLOBAL),2027178,20241125160545,20241125160545,20241125160929
V800841,RLS,17,"NEX Belt 원가절감 및 다변화 개발 과제(재료비,경비)",2037343,20250421085643,20250421085643,20250421112955
V80085125402,CRT,wip,TEST,2027313,20221221134950,20221221134950,
V800900,RLS,10,전자식 Safety 선행 연구,2034026,20260409144026,20260409144026,20260410140444
V800920,RLS,2,절대 위치 감지 시스템을 이용한 전자식 SAFETY 안전 제어기 선행연구,2031035,20240313093946,20240313093946,20240516103115
V800940,RLS,24,"N:EX [GTSS] 속도, 용량확장 개발",2031345,20260105151953,20260105151953,20260106103427
V800941,RLS,67,"카도어 잠금장치 신규 개발(재료비,경비)",2037564,20251128111050,20251128111050,20251128125230
V800980,RLS,160,N:EX Global_V8 재료비/경비,2027313,20250925123317,20250925123317,20251014135050
V801000,RLS,4,"롤러컨베이어 카트턴 복렬시스템 개발(횡식 롤러컨베어)(재료비,경비)",2025825,20260601085812,20260601090330,20260601103742
V801001,RLS,9,"승강기식 롤러컨베이어 방식 BERTH 호환타입 개발(재료비,경비)",2027194,20250821142720,20250821142720,20250821165150
V801020,RLS,10,"글로벌소싱팀 수입 SAMPLE (재료비,경비)",2035219,20241227162143,20241227162143,20241227163345
V801041,RLS,9,"전자식 SAFETY 안전 제어기 선행연구(재료비,경비)",2028557,20241129122634,20241129122634,20241202103849
V801060,RLS,40,IPM Module 단종 대체품 개발,2034948,20260129162818,20260129163329,20260130131517
V801061,WIP,wip,"Smart COP B’d 개발 (재료비,경비)",2033283,20260209142935,20260209142935,20250307202554
V801062,RLS,0,양방향 화상통화 기능 카 LCD 장치 개발 (재료비 /경비),2033283,20250120161527,20250120161527,20250121171527
V801063,RLS,16,"SIDE OPEN 사면절곡 개발 및 인증_재료비,경비",2034182,20241107083237,20241107083237,20241108084014
V801080,RLS,71,"삼성물산 공동 개발 Modular Elevator (재료비,경비)",2033704,20241216152738,20241216152738,20241216153324
V801081,RLS,1,생활정보 표기 가능 7인치 LCD CPI 개발,2020858,20241017090241,20241017090241,20241023112556
V801140,RLS,0," N:EX2 디자인 개발(재료비,경비)",2026180,20240705133815,20240705133815,20240708173805
V801141,RLS,21,"북미용 카도어잠금장치, 제어반 개발(재료비,경비)",2037564,20251013172311,20251013172311,20251013174820
V801160,RLS,32,N:EX 44kN 신규 Belt 개발,2037343,20260818113002,20260818113002,20260818181611
V801180,RLS,2,"글로벌 소싱 개발 (재료비, 경비)",2033283,20241022150035,20241022150035,20250103162844
V801181,RLS,0,스마트 전장품 개발 (재료비/경비),2033283,20250120160105,20250120160105,20250121171527
V801200,RLS,1,VISION 기술을 활용한 프리미엄 옵션 개발,2025205,20241010184042,20241010184042,20241014133921
V801240,RLS,1,신규 사각 버튼 개발 (재료비/경비),2035197,20250930085727,20250930085727,20250930114448
V801241,RLS,103,"Rope식 TM 도입(재료비, 경비)",2034026,20260313093022,20260313093022,20260324124333
V801280,RLS,67,삼성물산 모듈러 시스템 Lab 재료비,2033704,20250611082054,20250611082054,20250611084852
V801300,RLS,5,"엔코더 부착 가능형 DG240 Governor 개발(재료비, 경비)",2030985,20260429184624,20260429184624,20260429185517
V801321,RLS,56,Plan-B 도입,2034956,20251030144011,20251030144011,20251030144458
V801360,RLS,47,"Plan-B 도입, MR, 630kg-105mpm",2034174,20260424104337,20260424104337,20260424155134
V801361,RLS,32,"Plan-B 도입, MR, 1,200kg-105mpm ",2034182,20251229165359,20251229165359,20251229171950
V801380,RLS,4,"북미형 엘리베이터 안전부품 ASME 인증 (재료비, 경비)",2034026,20260210163119,20260210163119,20260223204529
V801401,RLS,0,"저진동 RGS 선행 개발 (재료비, 경비)",2032171,20250313104149,20250328171825,20250328174759
V801402,RLS,16,"방진고무 최적화 선행개발 (재료비, 경비)",2033542,20260224130336,20260224131317,20260226095952
V801403,RLS,14,선박용 경제형 개발,2031345,20260813163447,20260813163447,20260818113647
V801420,RLS,71,"고속/초고속 시스템 최적화 개발의 건_재료비, 경비",2037505,20260902141344,20260902141344,20260903132046
V801421,RLS,101,타사 MOR RM시장 대응 제품 개발(재료비/경비),2035162,20260911153012,20260911153012,20260914085202
V801422,RLS,4,T-CABLE PROTECTOR 간섭 문제 현장테스트,2032171,20251107164008,20251107180231,20251107180754
V801423,RLS,1,군관리 Premium 모델 개발 건(재료비/경비),2038021,20260825153900,20260825153900,20260827084908
V801440,RLS,146,일반 건축용 모듈러 시스템 E/L 개발 (재료비/경비),2036355,20260914150719,20260914150719,20260914151640
V801460,RLS,6,"신규 클러치 적용 중저속 도어장치 개발(재료비,경비)",2037564,20251127083309,20251127083309,20251127093757
V801461,WIP,wip,Interlift2025 전시회 목업 제작(유럽향 목업 제작분) (재료비/경비),2017989,20260914135716,20260914135716,20250716091653
V801462,WIP,wip,소형에어컨 개발 프로젝트[재료비/경비],2036649,20250827103455,20250827103455,20250616135021
V801463,RLS,1,시간대별 최적 호기 할당 기능 개발 건(재료비/경비),2025205,20260601144213,20260601144213,20260601180948
V801480,RLS,12,북미용 인터페이스 개발(재료비/경비),2030179,20260409084551,20260409084551,20260730142347
V801481,RLS,16,Interlift2025 전시회 목업 제작(인테리어 목업 제작분) (재료비/경비),2027950,20250716110357,20250716110357,20250716110912
V801482,RLS,0,글로벌소싱 전장품 Phase 2 개발 (개발비),2037122,20260324144136,20260324144136,20260324162652
V801501,RLS,67,북미 수출형 MR 및 MRL 시스템 경쟁력 강화_재료비/경비,2034026,20260907132056,20260907132056,20260907133301
V801503,RLS,50,동기기 적용 고속 도어장치 개발 (재료비/경비),2037564,20260902114707,20260902114707,20260902134823
V801504,RLS,25,해외 MOD용 200V 제어반 개발(재료비/경비),2023369,20260529150957,20260529150957,20260531191321
V801505,RLS,2,Tower 벤치마킹 재료비/경비 예산,2036380,20251203171840,20251203171840,20251204131259
V801521,RLS,0,MOD향 인테리어 개발 건,2030713,20251029190303,20251030102732,20251111123332
V801523,RLS,0,HATCH DOOR 450J 자체 시험 건(재료비/경비),2028336,20250722085009,20250723163439,20250723163746
V801527,RLS,2,서비스자재 업체 이원화 개발 샘플 제작 건(재료비/경비),2023369,20251023100307,20251023101613,20251023150449
V801540,RLS,34,GTLX2-R 신규 제어반 개발(재료비/경비: 8-2호기),2036282,20260427171234,20260427171234,20260501131858
V801541,RLS,26,GTLX2-R 신규 제어반 개발(재료비/경비: 8-3호기),2023768,20260803155246,20260803155246,20260803181423
V801542,CRT,wip,횡식롤러컨베이어타입 개발,2027194,20260330091447,20260330091524,
V801543,RLS,3,SHIFTING BERTH & NO T/T LIFT 개발,2017962,20260707172810,20260708130702,20260708184356
V801560,RLS,36,차세대 저소음 MRL(180mpm) 개발 재료비,2032171,20260827102308,20260827102308,20260901115722
V801561,RLS,4,직상부 구기종 MRL 대응 시스템 개발(재료비/경비),2034956,20260708132347,20260708132347,20260708132809
V801580,RLS,0,"Prestige 전장 옵션 PoC 검토 선행 개발 (재료비,경비)",2033283,20260107232941,20260107232941,20260120111315
V801621,AP1,wip,"신규 승강장문 조립체 개발 (재료비,경비)",2038129,20260915110449,20260915110449,20260909165723
V801640,RLS,0,WBVF제어반 단종을 위한 GT제어반 확대 적용 프로젝트,2028506,20251205155025,20251205155114,20260226084104
V801664,RV1,wip,Clean EL 개발 (재료비),2036428,20260915083442,20260915083442,20260831174902
V801665,RLS,1,NVH 모니터링 시스템 개발 (재료비/경비),2036606,20260811161807,20260811161807,20260811171056
V801680,RLS,20,차세대 luxen 빌트인 에어 케어 시스템(통합과제)/재료비경비,2032198,20260831101303,20260831101303,20260831162155
V801681,RLS,8,(선행)DUAL 시스템 개발(재료비/경비),2034956,20260818111032,20260818111032,20260818132238
V801683,RLS,14,차세대 루젠 개발 (재료비/경비),2034026,20260828165308,20260828165308,20260831100150
V801685,RLS,7,NEX MRL 용량 확장 개발(1800kg)(재료비/경비),2036525,20260915141311,20260915141311,20260915152000
V801686,RLS,15,중국 ODM 도입 개발(재료비/경비),2037238,20260902163250,20260902163250,20260903131358
V801689,RLS,0,2026 한국국제승강기엑스포 목업1,2026023,20260907083704,20260907083704,20260915085620
V801690,RLS,1,2026 한국국제승강기엑스포 목업2,2017989,20260914135616,20260914135616,20260914182109
V801700,RLS,5,ES MOD 범용모델 개발,2028581,20260903162305,20260903162305,20260903171938
V801702,RLS,16,RM 설치 공기단축 TFT 활동[재료비/경비],2036649,20260810084856,20260810084856,20260810090350
V801707,AP1,wip,차세대 루제 개발(재료비/경비)_전기파트,2036282,20260904131201,20260904131201,20260826142734
V801708,CRT,wip,ELD 배터리 수명 향상 및 모니터링 시스템 개발(재료비/경비),2023768,20260429115948,20260429115948,
V801710,RLS,10,고속초고속용 안전장치 도입 (재료비/경비),2034026,20260909102139,20260909102139,20260909103732
V801720,RLS,5,GH15S/25S OEM TM 개선(차세대 N:EX)_재료비/경비,2034956,20260904131011,20260904131011,20260904153549
V801726,RLS,42,북미향 EL 시스템 확장 개발(재료비/경비),2019965,20260910093330,20260910093330,20260910100855
V801727,RLS,31,고속 MR 기종 원가절감 개발(재료비/경비)_전기파트,2036525,20260914101505,20260914101505,20260915133123
V801729,RLS,0,마이콤 기반 ES 제어반 개발(재료비/경비)_전기파트,2034948,20260824114918,20260824114918,20260826133412
V801742,RLS,13,대용량 화물용 제어반 개발(재료비/경비)_전기파트,2034204,20260901091220,20260901091220,20260901092715
V801744,RLS,2,2026 한국국제승강기엑스포 목업3,2027950,20260915081557,20260915081557,20260915083816
V801860,WIP,wip,V PROJECT TEST,2027909,20220127102142,20220127102142,
V802449,CRT,wip,"컨베이버 롤러 방식(카트식) 재료비, 경비",2028379,20221018154601,20221020110719,
V802453,RLS,0,DSS 입력장치 기능 고도화,2025205,20220512142501,20220512142501,
V910324,RLS,0,이창림 책임 자재입고요,2026708,20211206093215,20211206093215,
V910663,CRT,wip,컨베이버 롤러 방식(카트식) 인증비,2028379,20221018154630,20221018154630,
V910664,CRT,wip,국내 방화도어 시험 (종전기준),2026023,20220719083318,20220719083318,
V940020,RLS,0,북미 스마트 시뮬레이터 제작 건(재료비/경비),2028336,20260825084254,20260825084254,20260911152909
V960085,RLS,76,P2-GLST-1,2037980,20260402141917,20260402141917,20260402151227
V960110,CRT,wip,컨베이버 롤러 방식(카트식) 인증비,2028379,20221025134747,20221025134747,
V960120,RLS,2,말레이시아 방화도어 인증 연장,2031353,20221019083916,20221019083916,
V960121,CRT,wip,STO향 Low End 시스템 개발 예산투자 품의 건,2020840,20220620130617,20220620130617,
V960122,CRT,wip,Clean Tech 솔루션(로비층 음성인식장치) 개발 예산투자 품의 건,2031477,20220711102534,20220711102534,
V960140,RLS,34,국내 방화도어 KC인증 신규 실시,2031353,20230908110403,20230908110403,
V960161,CRT,wip,MOB 타입 리모델링 대응 시스템 개발(인증비),2019027,20250625162344,20250625162344,
V960181,CRT,wip,"#1호기 (21인승, 240mpm) 비상용 (셔틀용) 인증비",2028379,20221220105437,20221220105437,
V960182,CRT,wip,"#6호기 (38인승, 150mpm) 피난용 (인화물용) 인증비",2028379,20221220110158,20221220110158,
V960202,RLS,0,러시아  방화도어 인증,2026023,20230310092224,20230310092224,
V960220,RLS,37,KC인증 정기심사,2031353,20260114162035,20260114162035,20260114165034
V960221,RLS,1,"국내 방화도어 인정 (개정기준, 협력사 다지트)",2031353,20230130171449,20230130171449,
V960260,CRT,wip,7500kg급 용량 초고속 (360mpm) Safety Device 개발(인증비),2030985,20230405151133,20230405151133,
V960280,CRT,wip,롤러 컨베이어 카트턴 내장타입 (카트식) 인증검사비,2028379,20230413130019,20230413130019,
V960281,CRT,wip,북미용 엘리베이터 시스템 개발(인증비),2026023,20230509131240,20230719160624,
V960300,CRT,wip,STO Car Frame 단순화(Platform 경량화) 인증비,2021307,20230426094637,20230426094818,
V960320,RLS,9,국내 3차 방화도어 KC인증,2036592,20250205162823,20250205162823,20250205163638
V960340,CRT,wip,고속/초고속 시스템 최적화 개발의 건_인증비,2033305,20231012165348,20231012165348,
V960361,CRT,wip,NEX Belt 원가절감 및 다변화 개발 과제(인증비),2032716,20231019091201,20231019091201,
V960380,CRT,wip,카도어 잠금장치 신규 개발(인증비),2032961,20240105133552,20240105133552,
V960400,CRT,wip,N:EX Global_V9 인증비,2019841,20240229172827,20240229173845,
V960420,CRT,wip,롤러컨베이어 카트턴 복렬시스템 개발(횡식 롤러컨베어)(인증비),2026350,20250422170956,20250422170956,
V960421,CRT,wip,승강기식 롤러컨베이어 방식 BERTH 호환타입 개발(인증비),2026023,20241105170307,20241105170307,
V960440,CRT,wip,글로벌소싱팀 수입 SAMPLE (인증비),2026023,20240313094712,20240313094712,
V960480,CRT,wip,SIDE OPEN 사면절곡 개발 및 인증_인증비,2034905,20240415110511,20240415110511,
V960500,CRT,wip,"북미용 카도어잠금장치, 제어반 개발(인증비)",2032961,20240628084932,20240628084932,
V960520,CRT,wip,Rope식 TM 도입_V9 인증비,2034956,20241217084522,20241217084522,
V960581,RLS,4,국내 4차 방화도어 KC인증,2036380,20250826205255,20250826205255,20250826210015
V960620,CRT,wip,타사 MOR RM시장 대응 제품 개발(인증비),2028336,20250317092619,20250317093816,
